geneId,geneSymbol,DSI,DPI,PLI,protein_class_name,protein_class,NofDiseases,NofPmids
111,ADCY5,0.62,0.58,1.00,NULL,NULL,103,87
116,ADCYAP1,0.51,0.85,0.52,Signaling,DTO_05007599,220,198
117,ADCYAP1R1,0.56,0.77,0.00,"G-protein coupled receptor",DTO_02300001,118,96
118,ADD1,0.61,0.62,0.99,"Cellular structure",DTO_05007530,67,133
123,PLIN2,0.56,0.69,0.00,Transporter,DTO_05007405,100,87
125,ADH1B,0.50,0.85,0.00,Enzyme,DTO_05007624,224,360
126,ADH1C,0.55,0.73,NULL,Enzyme,DTO_05007624,146,188
127,ADH4,0.64,0.46,0.00,Enzyme,DTO_05007624,53,55
128,ADH5,0.60,0.73,0.00,Enzyme,DTO_05007624,65,52
132,ADK,0.58,0.77,0.00,Kinase,DTO_03300101,102,61
133,ADM,0.44,0.81,0.04,Signaling,DTO_05007599,405,420
134,ADORA1,0.58,0.69,0.02,"G-protein coupled receptor",DTO_02300001,121,76
135,ADORA2A,0.53,0.77,0.60,"G-protein coupled receptor",DTO_02300001,213,151
142,PARP1,0.39,0.92,0.00,NULL,NULL,565,1323
148,ADRA1A,0.46,0.85,0.00,"G-protein coupled receptor",DTO_02300001,294,466
150,ADRA2A,0.58,0.62,0.00,"G-protein coupled receptor",DTO_02300001,102,105
151,ADRA2B,0.47,0.85,0.00,"G-protein coupled receptor",DTO_02300001,296,454
153,ADRB1,0.56,0.77,0.00,"G-protein coupled receptor",DTO_02300001,130,205
154,ADRB2,0.44,0.92,0.53,"G-protein coupled receptor",DTO_02300001,387,662
155,ADRB3,0.53,0.73,0.00,"G-protein coupled receptor",DTO_02300001,142,212
156,GRK2,0.53,0.65,1.00,Kinase,DTO_03300101,159,152
173,AFM,0.59,0.73,0.00,Transporter,DTO_05007405,86,63
174,AFP,0.43,0.89,0.00,Transporter,DTO_05007405,392,1785
175,AGA,0.57,0.81,0.00,Enzyme,DTO_05007624,143,118
176,ACAN,0.53,0.85,1.00,"Extracellular structure",DTO_05007621,187,297
177,AGER,0.42,0.89,0.00,Receptor,DTO_05007575,450,757
178,AGL,0.64,0.62,0.00,Enzyme,DTO_05007624,59,100
181,AGRP,0.49,0.77,0.00,Signaling,DTO_05007599,233,372
182,JAG1,0.43,0.81,1.00,NULL,NULL,420,592
183,AGT,0.37,0.92,0.00,"Enzyme modulator",DTO_05007584,765,2593
185,AGTR1,0.42,0.85,0.00,"G-protein coupled receptor",DTO_02300001,440,950
186,AGTR2,0.50,0.81,0.01,"G-protein coupled receptor",DTO_02300001,229,197
187,APLNR,0.59,0.69,0.79,"G-protein coupled receptor",DTO_02300001,94,101
189,AGXT,0.59,0.73,0.00,Enzyme,DTO_05007624,94,164
190,NR0B1,0.49,0.81,0.97,"Nuclear receptor",DTO_00102000,222,448
191,AHCY,0.58,0.69,0.04,Enzyme,DTO_05007624,107,50
196,AHR,0.41,0.92,1.00,"Transcription factor",DTO_05007542,532,719
197,AHSG,0.51,0.85,0.00,"Enzyme modulator",DTO_05007584,204,191
199,AIF1,0.52,0.81,0.00,"Calcium-binding protein",DTO_05007616,166,194
207,AKT1,0.31,0.96,0.98,Kinase,DTO_03300101,1250,4604
208,AKT2,0.47,0.77,0.64,Kinase,DTO_03300101,264,348
210,ALAD,0.56,0.62,0.00,Enzyme,DTO_05007624,135,69
212,ALAS2,0.61,0.58,1.00,Enzyme,DTO_05007624,79,104
213,ALB,0.32,0.96,0.64,Transporter,DTO_05007405,1198,3347
214,ALCAM,0.50,0.81,0.73,"Cell adhesion",DTO_05007620,181,150
215,ABCD1,0.56,0.73,1.00,Transporter,DTO_05007405,154,321
216,ALDH1A1,0.46,0.85,0.95,Enzyme,DTO_05007624,270,424
217,ALDH2,0.46,0.89,0.00,Enzyme,DTO_05007624,337,677
220,ALDH1A3,0.58,0.65,0.14,Enzyme,DTO_05007624,83,69
224,ALDH3A2,0.62,0.77,0.00,NULL,NULL,78,77
229,ALDOB,0.62,0.54,0.00,NULL,NULL,80,64
231,AKR1B1,0.49,0.89,0.00,Enzyme,DTO_05007624,220,382
238,ALK,0.40,0.85,0.00,Kinase,DTO_03300101,519,2563
239,ALOX12,0.56,0.69,0.00,Enzyme,DTO_05007624,119,97
240,ALOX5,0.45,0.89,0.00,Enzyme,DTO_05007624,342,400
241,ALOX5AP,0.61,0.73,0.07,Enzyme,DTO_05007624,76,122
246,ALOX15,0.50,0.85,0.00,Enzyme,DTO_05007624,205,207
248,ALPI,0.56,0.77,0.00,Enzyme,DTO_05007624,98,106
249,ALPL,0.55,0.77,0.00,Enzyme,DTO_05007624,190,232
250,ALPP,0.49,0.81,0.00,Enzyme,DTO_05007624,209,244
259,AMBP,0.54,0.73,0.00,NULL,NULL,150,140
262,AMD1,0.59,0.58,0.98,Enzyme,DTO_05007624,84,137
263,AMD1P2,0.61,0.54,NULL,NULL,NULL,71,121
265,AMELX,0.60,0.77,0.07,NULL,NULL,72,82
268,AMH,0.48,0.85,0.00,NULL,NULL,242,444
269,AMHR2,0.64,0.42,0.00,Kinase,DTO_03300101,52,62
270,AMPD1,0.57,0.69,0.00,Enzyme,DTO_05007624,106,77
274,BIN1,0.55,0.69,0.78,NULL,NULL,163,128
275,AMT,0.67,0.69,0.00,NULL,NULL,60,53
276,AMY1A,0.64,0.73,0.00,NULL,NULL,65,58
277,AMY1B,0.65,0.73,0.00,NULL,NULL,63,56
278,AMY1C,0.65,0.73,0.00,NULL,NULL,63,56
283,ANG,0.51,0.77,0.29,NULL,NULL,185,168
284,ANGPT1,0.45,0.81,0.95,Signaling,DTO_05007599,340,469
285,ANGPT2,0.41,0.85,0.83,Signaling,DTO_05007599,457,714
286,ANK1,0.54,0.89,1.00,NULL,NULL,166,129
287,ANK2,0.63,0.54,1.00,NULL,NULL,71,64
288,ANK3,0.58,0.65,1.00,NULL,NULL,106,106
290,ANPEP,0.46,0.77,0.00,Enzyme,DTO_05007624,280,363
291,SLC25A4,0.57,0.69,0.45,Transporter,DTO_05007405,160,77
301,ANXA1,0.44,0.89,0.00,NULL,NULL,336,355
302,ANXA2,0.45,0.81,0.00,NULL,NULL,294,338
308,ANXA5,0.46,0.77,0.00,NULL,NULL,283,367
309,ANXA6,0.51,0.85,0.00,NULL,NULL,156,127
317,APAF1,0.53,0.77,0.00,NULL,NULL,145,143
324,APC,0.37,0.96,1.00,NULL,NULL,703,2179
325,APCS,0.53,0.81,0.03,NULL,NULL,141,175
326,AIRE,0.52,0.81,0.00,NULL,NULL,175,335
328,APEX1,0.46,0.85,0.00,NULL,NULL,305,422
329,BIRC2,0.54,0.73,0.43,"Enzyme modulator",DTO_05007584,125,117
330,BIRC3,0.49,0.77,0.07,"Enzyme modulator",DTO_05007584,209,248
331,XIAP,0.45,0.81,0.92,"Enzyme modulator",DTO_05007584,321,495
332,BIRC5,0.50,0.73,0.06,"Enzyme modulator",DTO_05007584,199,290
335,APOA1,0.43,0.89,0.00,NULL,NULL,416,776
336,APOA2,0.58,0.77,0.04,Transporter,DTO_05007405,77,88
337,APOA4,0.58,0.58,0.00,NULL,NULL,88,94
338,APOB,0.45,0.81,0.00,NULL,NULL,339,1169
341,APOC1,0.58,0.58,0.22,NULL,NULL,95,84
344,APOC2,0.61,0.58,0.40,NULL,NULL,68,101
345,APOC3,0.53,0.73,0.01,NULL,NULL,153,305
347,APOD,0.58,0.58,0.00,NULL,NULL,89,61
348,APOE,0.34,0.96,0.00,NULL,NULL,1049,6805
350,APOH,0.56,0.77,0.00,NULL,NULL,121,192
351,APP,0.42,0.85,0.05,"Enzyme modulator",DTO_05007584,485,3674
353,APRT,0.42,0.85,0.00,NULL,NULL,384,589
354,KLK3,0.44,0.89,0.00,Enzyme,DTO_05007624,358,3069
355,FAS,0.37,0.92,0.81,NULL,NULL,754,1026
356,FASLG,0.43,0.89,0.18,Signaling,DTO_05007599,398,391
358,AQP1,0.47,0.89,0.00,"Ion channel",DTO_01300327,268,195
359,AQP2,0.58,0.77,0.00,"Ion channel",DTO_01300327,114,190
360,AQP3,0.55,0.77,0.13,"Ion channel",DTO_01300327,124,111
361,AQP4,0.46,0.89,0.00,"Ion channel",DTO_01300327,311,639
362,AQP5,0.55,0.77,0.05,"Ion channel",DTO_01300327,119,105
366,AQP9,0.57,0.81,0.24,"Ion channel",DTO_01300327,100,66
367,AR,0.35,0.85,0.99,"Nuclear receptor",DTO_00102000,854,4657
368,ABCC6,0.54,0.65,0.00,Transporter,DTO_05007405,181,221
374,AREG,0.49,0.77,0.35,Signaling,DTO_05007599,221,280
382,ARF6,0.63,0.58,0.72,NULL,NULL,56,68
383,ARG1,0.48,0.85,0.00,Enzyme,DTO_05007624,273,309
384,ARG2,0.57,0.73,0.00,Enzyme,DTO_05007624,103,80
387,RHOA,0.50,0.81,0.60,"Enzyme modulator",DTO_05007584,193,201
389,RHOC,0.64,0.31,0.77,"Enzyme modulator",DTO_05007584,50,58
405,ARNT,0.58,0.69,1.00,"Transcription factor",DTO_05007542,104,97
406,ARNTL,0.51,0.89,0.99,"Transcription factor",DTO_05007542,200,213
407,ARR3,0.46,0.85,0.10,"Enzyme modulator",DTO_05007584,279,466
408,ARRB1,0.59,0.85,0.99,"Enzyme modulator",DTO_05007584,92,70
409,ARRB2,0.56,0.77,0.51,"Enzyme modulator",DTO_05007584,119,85
410,ARSA,0.45,0.92,0.00,Enzyme,DTO_05007624,376,562
411,ARSB,0.60,0.69,0.00,NULL,NULL,96,144
412,STS,0.43,0.85,0.81,Enzyme,DTO_05007624,382,488
414,ARSD,0.54,0.81,0.00,Enzyme,DTO_05007624,163,284
427,ASAH1,0.53,0.81,0.00,Enzyme,DTO_05007624,176,137
429,ASCL1,0.55,0.69,0.68,"Transcription factor",DTO_05007542,136,134
434,ASIP,0.58,0.69,0.02,Signaling,DTO_05007599,89,77
435,ASL,0.59,0.73,0.00,Enzyme,DTO_05007624,99,102
440,ASNS,0.60,0.69,0.00,Enzyme,DTO_05007624,90,77
443,ASPA,0.56,0.73,0.00,NULL,NULL,123,151
445,ASS1,0.52,0.73,0.00,Enzyme,DTO_05007624,163,193
462,SERPINC1,0.51,0.77,1.00,"Enzyme modulator",DTO_05007584,184,266
463,ZFHX3,0.62,0.65,0.45,NULL,NULL,85,92
466,ATF1,0.59,0.58,0.63,NULL,NULL,88,108
467,ATF3,0.49,0.89,0.09,"Transcription factor",DTO_05007542,228,210
468,ATF4,0.51,0.77,0.02,NULL,NULL,178,196
470,ATHS,0.55,0.77,NULL,NULL,NULL,112,125
471,ATIC,0.58,0.73,0.00,Enzyme,DTO_05007624,100,50
472,ATM,0.37,0.89,0.00,Kinase,DTO_03300101,684,1907
473,RERE,0.53,0.85,1.00,NULL,NULL,215,72
476,ATP1A1,0.60,0.81,1.00,Transporter,DTO_05007405,89,54
477,ATP1A2,0.60,0.62,0.00,Transporter,DTO_05007405,102,124
478,ATP1A3,0.54,0.62,1.00,Transporter,DTO_05007405,174,132
479,ATP12A,0.58,0.77,0.00,Transporter,DTO_05007405,102,120
488,ATP2A2,0.53,0.81,1.00,Transporter,DTO_05007405,159,178
490,ATP2B1,0.67,0.50,1.00,Transporter,DTO_05007405,57,71
491,ATP2B2,0.66,0.73,1.00,Transporter,DTO_05007405,51,52
495,ATP4A,0.58,0.77,0.00,Transporter,DTO_05007405,101,118
498,ATP5F1A,0.60,0.73,1.00,Transporter,DTO_05007405,84,50
501,ALDH7A1,0.55,0.77,0.00,Enzyme,DTO_05007624,141,143
525,ATP6V1B1,0.70,0.35,0.00,Transporter,DTO_05007405,30,54
538,ATP7A,0.49,0.77,1.00,Transporter,DTO_05007405,348,231
540,ATP7B,0.53,0.65,0.00,Transporter,DTO_05007405,182,542
545,ATR,0.46,0.92,0.00,Kinase,DTO_03300101,321,317
546,ATRX,0.45,0.81,1.00,NULL,NULL,412,272
551,AVP,0.44,0.85,0.07,Signaling,DTO_05007599,454,798
552,AVPR1A,0.66,0.50,0.00,"G-protein coupled receptor",DTO_02300001,51,61
554,AVPR2,0.57,0.77,0.56,"G-protein coupled receptor",DTO_02300001,134,212
558,AXL,0.49,0.62,0.01,Kinase,DTO_03300101,203,273
563,AZGP1,0.57,0.77,0.00,NULL,NULL,101,86
566,AZU1,0.64,0.69,0.00,Enzyme,DTO_05007624,56,59
567,B2M,0.45,0.85,0.56,"Immune response",DTO_05007608,352,382
570,BAAT,0.58,0.65,0.00,NULL,NULL,98,108
571,BACH1,0.59,0.73,0.57,NULL,NULL,86,83
572,BAD,0.55,0.77,0.00,NULL,NULL,125,130
573,BAG1,0.54,0.77,0.00,NULL,NULL,128,119
578,BAK1,0.56,0.77,0.00,Signaling,DTO_05007599,115,116
580,BARD1,0.60,0.54,0.00,NULL,NULL,75,157
581,BAX,0.42,0.89,0.32,Signaling,DTO_05007599,420,1053
582,BBS1,0.59,0.69,0.00,NULL,NULL,111,85
583,BBS2,0.57,0.65,0.00,NULL,NULL,128,128
590,BCHE,0.45,0.92,0.00,NULL,NULL,392,787
593,BCKDHA,0.70,0.42,0.00,NULL,NULL,45,72
594,BCKDHB,0.68,0.50,0.00,Enzyme,DTO_05007624,50,79
595,CCND1,0.34,0.92,0.89,"Enzyme modulator",DTO_05007584,859,2863
596,BCL2,0.29,0.89,0.56,Signaling,DTO_05007599,1456,6601
597,BCL2A1,0.53,0.73,0.21,Signaling,DTO_05007599,150,135
598,BCL2L1,0.49,0.89,0.94,Signaling,DTO_05007599,212,224
602,BCL3,0.54,0.73,0.99,NULL,NULL,136,127
604,BCL6,0.44,0.81,0.96,NULL,NULL,309,734
607,BCL9,0.60,0.62,0.50,NULL,NULL,74,54
608,TNFRSF17,0.59,0.69,0.00,Receptor,DTO_05007575,81,98
611,OPN1SW,0.52,0.77,0.02,"G-protein coupled receptor",DTO_02300001,164,256
613,BCR,0.43,0.89,0.99,"Enzyme modulator",DTO_05007584,392,1601
617,BCS1L,0.53,0.81,0.00,NULL,NULL,172,100
623,BDKRB1,0.62,0.73,0.00,"G-protein coupled receptor",DTO_02300001,79,53
624,BDKRB2,0.59,0.81,0.12,"G-protein coupled receptor",DTO_02300001,105,71
627,BDNF,0.35,0.92,0.66,Signaling,DTO_05007599,992,3258
629,CFB,0.53,0.77,0.00,NULL,NULL,139,167
632,BGLAP,0.46,0.85,0.00,NULL,NULL,274,401
633,BGN,0.48,0.81,0.45,NULL,NULL,253,171
634,CEACAM1,0.53,0.73,0.00,NULL,NULL,167,138
635,BHMT,0.60,0.73,0.00,NULL,NULL,71,55
637,BID,0.56,0.81,0.00,NULL,NULL,117,126
639,PRDM1,0.54,0.73,0.96,NULL,NULL,126,152
640,BLK,0.59,0.77,0.00,Kinase,DTO_03300101,86,96
641,BLM,0.54,0.81,0.00,NULL,NULL,158,276
643,CXCR5,0.52,0.77,0.73,"G-protein coupled receptor",DTO_02300001,146,142
648,BMI1,0.45,0.81,0.94,NULL,NULL,309,563
649,BMP1,0.55,0.77,0.00,NULL,NULL,121,125
650,BMP2,0.43,0.85,0.99,Signaling,DTO_05007599,428,434
652,BMP4,0.42,0.81,0.96,Signaling,DTO_05007599,423,380
654,BMP6,0.53,0.81,0.76,Signaling,DTO_05007599,137,123
655,BMP7,0.50,0.77,0.13,Signaling,DTO_05007599,197,219
657,BMPR1A,0.52,0.73,0.90,Kinase,DTO_03300101,203,112
659,BMPR2,0.54,0.65,1.00,Kinase,DTO_03300101,146,333
664,BNIP3,0.52,0.73,0.00,NULL,NULL,158,153
667,DST,0.55,0.85,1.00,"Cellular structure",DTO_05007530,147,174
668,FOXL2,0.54,0.69,0.88,"Transcription factor",DTO_05007542,137,198
671,BPI,0.61,0.77,0.00,NULL,NULL,83,87
672,BRCA1,0.37,0.92,0.00,Enzyme,DTO_05007624,747,6261
673,BRAF,0.32,0.85,1.00,Kinase,DTO_03300101,1228,5616
675,BRCA2,0.38,0.85,0.00,"Nucleic acid binding",DTO_05007557,656,3810
680,BRS3,0.47,0.85,0.95,"G-protein coupled receptor",DTO_02300001,261,434
682,BSG,0.46,0.77,0.00,NULL,NULL,287,449
684,BST2,0.57,0.77,0.00,NULL,NULL,95,75
686,BTD,0.63,0.65,0.00,Enzyme,DTO_05007624,90,109
687,KLF9,0.60,0.58,0.89,"Nucleic acid binding",DTO_05007557,77,54
688,KLF5,0.53,0.77,0.82,"Nucleic acid binding",DTO_05007557,143,163
690,BTF3P11,0.52,0.73,NULL,NULL,NULL,154,209
694,BTG1,0.56,0.69,0.54,NULL,NULL,98,58
695,BTK,0.46,0.81,1.00,Kinase,DTO_03300101,290,687
699,BUB1,0.53,0.73,0.00,Kinase,DTO_03300101,162,76
701,BUB1B,0.50,0.81,0.00,Kinase,DTO_03300101,231,104
706,TSPO,0.44,0.89,0.00,NULL,NULL,341,487
708,C1QBP,0.57,0.69,0.00,NULL,NULL,111,79
710,SERPING1,0.51,0.77,0.96,"Enzyme modulator",DTO_05007584,207,464
717,C2,0.62,0.69,0.00,NULL,NULL,71,85
718,C3,0.45,0.89,0.90,"Enzyme modulator",DTO_05007584,343,385
719,C3AR1,0.60,0.73,0.00,"G-protein coupled receptor",DTO_02300001,73,55
720,C4A,0.56,0.77,0.00,"Enzyme modulator",DTO_05007584,145,89
721,C4B,0.60,0.81,0.83,"Enzyme modulator",DTO_05007584,66,100
722,C4BPA,0.56,0.85,0.46,NULL,NULL,107,125
727,C5,0.55,0.73,0.00,"Enzyme modulator",DTO_05007584,129,128
728,C5AR1,0.51,0.81,0.40,"G-protein coupled receptor",DTO_02300001,179,169
738,VPS51,0.45,0.85,0.00,NULL,NULL,292,443
745,MYRF,0.58,0.73,1.00,NULL,NULL,102,53
760,CA2,0.51,0.81,0.00,NULL,NULL,210,162
768,CA9,0.48,0.73,0.00,NULL,NULL,226,443
771,CA12,0.59,0.73,0.00,NULL,NULL,81,62
773,CACNA1A,0.49,0.77,1.00,"Ion channel",DTO_01300327,320,442
775,CACNA1C,0.51,0.85,1.00,"Ion channel",DTO_01300327,225,262
776,CACNA1D,0.58,0.58,1.00,"Ion channel",DTO_01300327,116,77
778,CACNA1F,0.60,0.50,0.00,"Ion channel",DTO_01300327,81,66
779,CACNA1S,0.60,0.69,0.00,"Ion channel",DTO_01300327,118,96
780,DDR1,0.50,0.81,0.00,Kinase,DTO_03300101,195,178
783,CACNB2,0.66,0.54,0.00,"Ion channel",DTO_01300327,56,58
788,SLC25A20,0.56,0.77,0.00,Transporter,DTO_05007405,130,88
790,CAD,0.48,0.85,1.00,Enzyme,DTO_05007624,249,323
793,CALB1,0.61,0.62,0.24,"Calcium-binding protein",DTO_05007616,68,63
794,CALB2,0.55,0.69,0.00,"Calcium-binding protein",DTO_05007616,124,125
796,CALCA,0.42,0.92,0.02,Signaling,DTO_05007599,467,1041
799,CALCR,0.46,0.85,0.00,"G-protein coupled receptor",DTO_02300001,282,336
800,CALD1,0.58,0.69,1.00,NULL,NULL,94,67
801,CALM1,0.47,0.81,0.94,"Calcium-binding protein",DTO_05007616,253,260
805,CALM2,0.47,0.81,0.92,"Calcium-binding protein",DTO_05007616,252,244
808,CALM3,0.49,0.85,0.93,"Calcium-binding protein",DTO_05007616,215,231
810,CALML3,0.62,0.50,0.00,"Calcium-binding protein",DTO_05007616,54,55
811,CALR,0.41,0.92,0.89,"Calcium-binding protein",DTO_05007616,487,831
820,CAMP,0.47,0.85,0.00,NULL,NULL,262,278
821,CANX,0.58,0.77,0.87,Chaperone,DTO_05007613,82,64
822,CAPG,0.55,0.73,0.00,"Cellular structure",DTO_05007530,111,78
823,CAPN1,0.54,0.81,0.00,Enzyme,DTO_05007624,165,111
824,CAPN2,0.59,0.69,0.00,Enzyme,DTO_05007624,87,62
825,CAPN3,0.56,0.62,0.00,Enzyme,DTO_05007624,137,236
828,CAPS,0.64,0.73,0.00,NULL,NULL,50,52
831,CAST,0.54,0.85,0.00,NULL,NULL,141,123
834,CASP1,0.41,0.89,0.00,Enzyme,DTO_05007624,444,562
835,CASP2,0.57,0.73,0.00,Enzyme,DTO_05007624,105,75
836,CASP3,0.35,0.92,0.10,Enzyme,DTO_05007624,819,2477
839,CASP6,0.61,0.62,0.00,Enzyme,DTO_05007624,73,71
840,CASP7,0.58,0.65,0.00,Enzyme,DTO_05007624,83,88
841,CASP8,0.40,0.92,0.00,Enzyme,DTO_05007624,480,693
842,CASP9,0.46,0.81,0.00,Enzyme,DTO_05007624,293,469
843,CASP10,0.53,0.69,0.00,Enzyme,DTO_05007624,166,63
845,CASQ2,0.69,0.39,0.00,NULL,NULL,41,79
846,CASR,0.41,0.85,0.05,"G-protein coupled receptor",DTO_02300001,517,1016
847,CAT,0.36,0.96,0.00,Enzyme,DTO_05007624,794,1184
857,CAV1,0.39,0.89,0.01,"Enzyme modulator",DTO_05007584,633,900
858,CAV2,0.58,0.69,0.03,"Enzyme modulator",DTO_05007584,96,82
859,CAV3,0.56,0.69,0.01,"Enzyme modulator",DTO_05007584,163,132
860,RUNX2,0.44,0.85,0.95,"Transcription factor",DTO_05007542,405,617
861,RUNX1,0.43,0.81,0.65,"Transcription factor",DTO_05007542,412,1432
862,RUNX1T1,0.53,0.81,0.98,"Transcription factor",DTO_05007542,137,476
864,RUNX3,0.46,0.73,0.84,"Transcription factor",DTO_05007542,281,445
865,CBFB,0.60,0.54,0.96,NULL,NULL,76,122
867,CBL,0.53,0.77,0.00,Enzyme,DTO_05007624,172,142
871,SERPINH1,0.55,0.77,0.03,"Enzyme modulator",DTO_05007584,148,118
873,CBR1,0.57,0.65,0.00,NULL,NULL,100,97
875,CBS,0.47,0.89,0.00,Enzyme,DTO_05007624,295,449
885,CCK,0.45,0.85,0.00,NULL,NULL,326,846
886,CCKAR,0.62,0.50,0.00,"G-protein coupled receptor",DTO_02300001,62,53
887,CCKBR,0.57,0.62,0.00,"G-protein coupled receptor",DTO_02300001,105,126
889,KRIT1,0.50,0.81,0.00,NULL,NULL,201,298
890,CCNA2,0.58,0.65,1.00,"Enzyme modulator",DTO_05007584,90,80
891,CCNB1,0.51,0.73,0.16,"Enzyme modulator",DTO_05007584,155,193
894,CCND2,0.48,0.81,0.99,"Enzyme modulator",DTO_05007584,241,247
896,CCND3,0.55,0.65,0.98,"Enzyme modulator",DTO_05007584,126,137
898,CCNE1,0.54,0.73,0.97,"Enzyme modulator",DTO_05007584,133,195
902,CCNH,0.60,0.77,0.00,"Enzyme modulator",DTO_05007584,83,51
907,CCT,0.59,0.77,NULL,NULL,NULL,75,57
909,CD1A,0.54,0.77,0.00,NULL,NULL,121,131
912,CD1D,0.53,0.77,0.00,NULL,NULL,140,153
919,CD247,0.54,0.73,0.02,NULL,NULL,140,117
920,CD4,0.60,0.65,0.00,NULL,NULL,73,111
922,CD5L,0.59,0.85,0.00,Enzyme,DTO_05007624,78,68
923,CD6,0.49,0.81,0.00,Enzyme,DTO_05007624,216,364
925,CD8A,0.59,0.77,0.00,NULL,NULL,87,79
928,CD9,0.53,0.77,0.00,NULL,NULL,156,272
929,CD14,0.39,0.89,0.00,NULL,NULL,551,869
930,CD19,0.43,0.89,0.90,NULL,NULL,365,1057
931,MS4A1,0.41,0.85,0.00,Receptor,DTO_05007575,451,956
933,CD22,0.56,0.62,0.80,NULL,NULL,106,162
939,CD27,0.52,0.69,0.01,NULL,NULL,154,172
940,CD28,0.44,0.89,0.36,NULL,NULL,364,500
941,CD80,0.48,0.77,0.01,NULL,NULL,233,298
942,CD86,0.48,0.77,0.95,NULL,NULL,219,265
943,TNFRSF8,0.44,0.81,0.86,NULL,NULL,301,671
945,CD33,0.52,0.77,0.00,Receptor,DTO_05007575,142,292
947,CD34,0.37,0.81,0.00,NULL,NULL,674,1763
948,CD36,0.45,0.85,0.00,Receptor,DTO_05007575,351,573
949,SCARB1,0.56,0.73,0.07,Receptor,DTO_05007575,116,120
950,SCARB2,0.61,0.62,0.00,Receptor,DTO_05007575,103,69
952,CD38,0.41,0.89,0.00,Enzyme,DTO_05007624,473,938
953,ENTPD1,0.50,0.77,0.01,Enzyme,DTO_05007624,206,165
958,CD40,0.40,0.85,0.85,NULL,NULL,528,891
959,CD40LG,0.41,0.85,0.72,Signaling,DTO_05007599,453,772
960,CD44,0.36,0.96,0.00,NULL,NULL,711,2159
961,CD47,0.47,0.77,0.92,NULL,NULL,253,347
962,CD48,0.59,0.69,0.00,NULL,NULL,74,63
965,CD58,0.58,0.77,0.25,NULL,NULL,80,82
966,CD59,0.47,0.81,0.61,NULL,NULL,262,320
967,CD63,0.54,0.73,0.02,NULL,NULL,128,119
968,CD68,0.41,0.81,0.00,Transporter,DTO_05007405,452,527
969,CD69,0.49,0.92,0.03,NULL,NULL,206,201
970,CD70,0.54,0.69,0.01,NULL,NULL,127,100
972,CD74,0.51,0.81,0.25,"Enzyme modulator",DTO_05007584,170,145
973,CD79A,0.54,0.73,0.69,Receptor,DTO_05007575,134,96
974,CD79B,0.58,0.58,0.92,Receptor,DTO_05007575,104,82
975,CD81,0.56,0.85,0.92,NULL,NULL,122,179
976,ADGRE5,0.60,0.54,0.00,"G-protein coupled receptor",DTO_02300001,74,51
977,CD151,0.56,0.65,0.00,NULL,NULL,101,89
